District,Month,Volume Soilmoisture percentage (at 15cm)
Palwal,9,24.96541873
Panchkula,1,27.280787328387095
Panchkula,2,21.914620973793102
Panchkula,3,29.306359258709676
Panchkula,4,27.814615501333332
Panchkula,5,24.639572903793102
Panchkula,6,22.583829655357142
Panchkula,7,23.2298085175
Panchkula,8,28.07109840129032
Panchkula,9,19.69165579695652
Panipat,1,20.50630763483871
Panipat,2,16.702998972413795
Panipat,3,25.30801025129032
Panipat,4,20.679208259333333
Panipat,5,24.76423162310345
Panipat,6,22.15330633285714
Panipat,7,25.829397988125
Panipat,8,28.01897704580645
Panipat,9,21.259307997391307
Rewari,1,8.501468776612903
Rewari,2,8.425876154965517
Rewari,3,18.398862038387094
Rewari,4,13.729142598333333
Rewari,5,20.164811334827586
Rewari,6,15.66608099
Rewari,7,22.7573924425
Rewari,8,27.137452352580645
Rewari,9,22.402065232608695
Rohtak,1,13.809786746774193
Rohtak,2,11.38267967586207
Rohtak,3,24.296399945806453
Rohtak,4,19.225873971333332
Rohtak,5,24.85312043724138
Rohtak,6,20.704752460357145
Rohtak,7,24.419229684375
Rohtak,8,25.56879408903226
Rohtak,9,18.858603344347827
Sirsa,1,17.062492273225804
Sirsa,2,13.805671325172414
Sirsa,3,22.187453613225806
Sirsa,4,16.343364515
Sirsa,5,22.589443149310345
Sirsa,6,18.83077652607143
Sirsa,7,22.282365699375
Sirsa,8,23.56116562903226
Sirsa,9,22.35395853173913
Sonipat,1,17.22418043516129
Sonipat,2,14.799290732413793
Sonipat,3,25.383838303225808
Sonipat,4,19.641072980333334
Sonipat,5,24.970199171379313
Sonipat,6,22.57773338285714
Sonipat,7,26.183010125625
Sonipat,8,27.180340462580645
Sonipat,9,19.456828550434782
Yamunanagar,1,26.1275924
Yamunanagar,2,19.39332768862069
Yamunanagar,3,27.04254279580645
Yamunanagar,4,24.041781743666665
Yamunanagar,5,25.727232342413792
Yamunanagar,6,20.261934224285714
Yamunanagar,7,24.640784360625
Yamunanagar,8,30.171174307419356
Yamunanagar,9,18.681903837826088
